L8/OLI RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-8/spacecraft-instruments/operational-land-imager/spectral-response-of-the-operational-land-imager-in-band-band-average-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
1.578	0.899817	swir1	6
1.579	0.907252	swir1	6
1.58	0.913009	swir1	6
1.581	0.918685	swir1	6
1.582	0.922953	swir1	6
1.583	0.927163	swir1	6
1.584	0.92686	swir1	6
1.585	0.926413	swir1	6
1.586	0.925059	swir1	6
1.587	0.923683	swir1	6
1.588	0.923953	swir1	6
1.589	0.924259	swir1	6
1.59	0.922828	swir1	6
1.591	0.921383	swir1	6
1.592	0.922061	swir1	6
1.593	0.922756	swir1	6
1.594	0.924648	swir1	6
1.595	0.926605	swir1	6
1.596	0.934552	swir1	6
1.597	0.942525	swir1	6
1.598	0.944351	swir1	6
1.599	0.945872	swir1	6
1.6	0.946175	swir1	6
1.601	0.946432	swir1	6
1.602	0.947006	swir1	6
1.603	0.947589	swir1	6
1.604	0.950194	swir1	6
1.605	0.952859	swir1	6
1.606	0.951303	swir1	6
1.607	0.94967	swir1	6
1.608	0.953047	swir1	6
1.609	0.956494	swir1	6
1.61	0.959047	swir1	6
1.611	0.961545	swir1	6
1.612	0.960048	swir1	6
1.613	0.958335	swir1	6
1.614	0.959835	swir1	6
1.615	0.96147	swir1	6
1.616	0.960857	swir1	6
1.617	0.960175	swir1	6
1.618	0.960813	swir1	6
1.619	0.961486	swir1	6
1.62	0.964703	swir1	6
1.621	0.967943	swir1	6
1.622	0.969314	swir1	6
1.623	0.970589	swir1	6
1.624	0.973713	swir1	6
1.625	0.976906	swir1	6
1.626	0.9791	swir1	6
1.627	0.981258	swir1	6
1.628	0.981285	swir1	6
1.629	0.981372	swir1	6
1.63	0.988609	swir1	6
1.631	0.995869	swir1	6
1.632	0.998021	swir1	6
1.633	1	swir1	6
1.634	0.999848	swir1	6
1.635	0.999642	swir1	6
1.636	0.99659	swir1	6
1.637	0.993439	swir1	6
1.638	0.986217	swir1	6
1.639	0.978989	swir1	6
1.64	0.967125	swir1	6
1.641	0.95512	swir1	6
1.642	0.936199	swir1	6
1.643	0.917239	swir1	6
1.644	0.879424	swir1	6
1.645	0.840967	swir1	6
1.646	0.796545	swir1	6
1.647	0.751893	swir1	6
1.648	0.694313	swir1	6
1.649	0.636542	swir1	6
1.65	0.573232	swir1	6
1.651	0.509946	swir1	6
1.652	0.451966	swir1	6
1.653	0.39403	swir1	6
1.654	0.34275	swir1	6
1.655	0.291752	swir1	6
1.656	0.251309	swir1	6
1.657	0.211153	swir1	6
1.658	0.180823	swir1	6
1.659	0.15054	swir1	6
1.66	0.128463	swir1	6
1.661	0.106664	swir1	6
1.662	0.090735	swir1	6
1.663	0.074941	swir1	6
1.664	0.06379	swir1	6
1.665	0.052752	swir1	6
1.666	0.045028	swir1	6
1.667	0.03731	swir1	6
1.668	0.031821	swir1	6
1.669	0.02635	swir1	6
1.67	0.022504	swir1	6
1.671	0.018724	swir1	6
1.672	0.016045	swir1	6
1.673	0.013394	swir1	6
1.674	0.011483	swir1	6
1.675	0.009587	swir1	6
1.676	0.008227	swir1	6
1.677	0.006882	swir1	6
1.678	0.00591	swir1	6
1.679	0.00494	swir1	6
1.68	0.004257	swir1	6
1.681	0.003576	swir1	6
1.682	0.003055	swir1	6
1.683	0.002541	swir1	6
1.684	0.00216	swir1	6
1.685	0.001781	swir1	6
1.686	0.001512	swir1	6
1.687	0.001244	swir1	6
1.688	0.00104	swir1	6
1.689	0.000837	swir1	6
1.69	0.000677	swir1	6
1.691	0.000517	swir1	6
1.692	0.000409	swir1	6
1.693	0.000301	swir1	6
1.694	0.000206	swir1	6
1.695	0.000112	swir1	6
1.696	0.00004	swir1	6
1.697	-0.000031	swir1	6
2.037	-0.00001	swir2	7
2.038	0.000037	swir2	7
2.039	0.000083	swir2	7
2.04	0.000131	swir2	7
2.041	0.000179	swir2	7
2.042	0.00024	swir2	7
2.043	0.000305	swir2	7
2.044	0.000368	swir2	7
2.045	0.00043	swir2	7
2.046	0.000512	swir2	7
2.047	0.000599	swir2	7
2.048	0.000704	swir2	7
2.049	0.000814	swir2	7
2.05	0.000947	swir2	7
2.051	0.001085	swir2	7
2.052	0.001222	swir2	7
2.053	0.00136	swir2	7
2.054	0.001546	swir2	7
2.055	0.001745	swir2	7
2.056	0.001964	swir2	7
2.057	0.002187	swir2	7
2.058	0.002439	swir2	7
2.059	0.002696	swir2	7
2.06	0.00301	swir2	7
2.061	0.003339	swir2	7
2.062	0.003733	swir2	7
2.063	0.004141	swir2	7
2.064	0.004627	swir2	7
2.065	0.005137	swir2	7
2.066	0.005728	swir2	7
2.067	0.006337	swir2	7
2.068	0.007139	swir2	7
2.069	0.007996	swir2	7
2.07	0.008903	swir2	7
2.071	0.009824	swir2	7
2.072	0.011005	swir2	7
2.073	0.012261	swir2	7
2.074	0.01361	swir2	7
2.075	0.014987	swir2	7
2.076	0.016872	swir2	7
