S2A/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.895	0.42086556	B8	8
0.896	0.43007022	B8	8
0.897	0.42456692	B8	8
0.898	0.39136817	B8	8
0.899	0.33009008	B8	8
0.9	0.25720509	B8	8
0.901	0.18189031	B8	8
0.902	0.11650668	B8	8
0.903	0.07031579	B8	8
0.904	0.04275381	B8	8
0.905	0.02593154	B8	8
0.906	0.01574394	B8	8
0.907	0.00394326	B8	8
0.837	0.00030097	B8A	9
0.838	0	B8A	9
0.839	0	B8A	9
0.84	0	B8A	9
0.841	0	B8A	9
0.842	0	B8A	9
0.843	0	B8A	9
0.844	0	B8A	9
0.845	0	B8A	9
0.846	0	B8A	9
0.847	0.00157217	B8A	9
0.848	0.00249886	B8A	9
0.849	0.01332037	B8A	9
0.85	0.02614866	B8A	9
0.851	0.05260479	B8A	9
0.852	0.10779709	B8A	9
0.853	0.22160755	B8A	9
0.854	0.39721628	B8A	9
0.855	0.60986885	B8A	9
0.856	0.81658883	B8A	9
0.857	0.9322445	B8A	9
0.858	0.97210033	B8A	9
0.859	0.97545482	B8A	9
0.86	0.97538048	B8A	9
0.861	0.97328205	B8A	9
0.862	0.97607828	B8A	9
0.863	0.98034955	B8A	9
0.864	0.98690928	B8A	9
0.865	0.99087465	B8A	9
0.866	0.99741818	B8A	9
0.867	0.99984673	B8A	9
0.868	0.99939141	B8A	9
0.869	0.99587928	B8A	9
0.87	0.99541228	B8A	9
0.871	1	B8A	9
0.872	0.99640762	B8A	9
0.873	0.92359433	B8A	9
0.874	0.74137684	B8A	9
0.875	0.48965971	B8A	9
0.876	0.25020643	B8A	9
0.877	0.11221246	B8A	9
0.878	0.04755984	B8A	9
0.879	0.02297815	B8A	9
0.88	0.01061438	B8A	9
0.881	0.00108149	B8A	9
0.932	0.016629527	B9	10
0.933	0.061118571	B9	10
0.934	0.174070942	B9	10
0.935	0.389464545	B9	10
